Date,^GSPC,^IXIC,^DJI
2004-01-05,1122.219970703125,2047.3599853515625,10544.0703125
2004-01-06,1123.6700439453125,2057.3701171875,10538.66015625
2004-01-07,1126.3299560546875,2077.679931640625,10529.0302734375
2004-01-08,1131.9200439453125,2100.25,10592.4404296875
2004-01-09,1121.8599853515625,2086.919921875,10458.8896484375
2004-01-12,1127.22998046875,2111.780029296875,10485.1796875
2004-01-13,1121.219970703125,2096.43994140625,10427.1796875
2004-01-14,1130.52001953125,2111.1298828125,10538.3701171875
2004-01-15,1132.050048828125,2109.080078125,10553.849609375
2004-01-16,1139.8299560546875,2140.4599609375,10600.509765625
2004-01-20,1138.77001953125,2147.97998046875,10528.66015625
2004-01-21,1147.6199951171875,2142.449951171875,10623.6201171875
2004-01-22,1143.93994140625,2119.010009765625,10623.1796875
2004-01-23,1141.550048828125,2123.8701171875,10568.2900390625
2004-01-26,1155.3699951171875,2153.830078125,10702.509765625
2004-01-27,1144.050048828125,2116.0400390625,10609.919921875
2004-01-28,1128.47998046875,2077.3701171875,10468.3701171875
2004-01-29,1134.1099853515625,2068.22998046875,10510.2900390625
2004-01-30,1131.1300048828125,2066.14990234375,10488.0703125
2004-02-02,1135.260009765625,2063.14990234375,10499.1796875
2004-02-03,1136.030029296875,2066.2099609375,10505.1796875
2004-02-04,1126.52001953125,2014.1400146484375,10470.740234375
2004-02-05,1128.5899658203125,2019.56005859375,10495.5498046875
2004-02-06,1142.760009765625,2064.010009765625,10593.0302734375
2004-02-09,1139.81005859375,2060.570068359375,10579.0302734375
2004-02-10,1145.5400390625,2075.330078125,10613.849609375
2004-02-11,1157.760009765625,2089.659912109375,10737.7001953125
2004-02-12,1152.1099853515625,2073.610107421875,10694.0703125
2004-02-13,1145.81005859375,2053.56005859375,10627.849609375
2004-02-17,1156.989990234375,2080.35009765625,10714.8798828125
2004-02-18,1151.8199462890625,2076.469970703125,10671.990234375
2004-02-19,1147.06005859375,2045.9599609375,10664.73046875
2004-02-20,1144.1099853515625,2037.9300537109375,10619.0302734375
2004-02-23,1140.989990234375,2007.52001953125,10609.6201171875
2004-02-24,1139.0899658203125,2005.43994140625,10566.3701171875
2004-02-25,1143.6700439453125,2022.97998046875,10601.6201171875
2004-02-26,1144.9100341796875,2032.5699462890625,10580.1396484375
2004-02-27,1144.93994140625,2029.8199462890625,10583.919921875
2004-03-01,1155.969970703125,2057.800048828125,10678.1396484375
2004-03-02,1149.0999755859375,2039.6500244140625,10591.48046875
2004-03-03,1151.030029296875,2033.3599853515625,10593.1103515625
2004-03-04,1154.8699951171875,2055.110107421875,10588.0
2004-03-05,1156.8599853515625,2047.6300048828125,10595.5498046875
2004-03-08,1147.199951171875,2008.780029296875,10529.48046875
2004-03-09,1140.5799560546875,1995.1600341796875,10456.9599609375
2004-03-10,1123.8900146484375,1964.1500244140625,10296.8896484375
2004-03-11,1106.780029296875,1943.8900146484375,10128.3798828125
2004-03-12,1120.5699462890625,1984.72998046875,10240.080078125
2004-03-15,1104.489990234375,1939.199951171875,10102.8896484375
2004-03-16,1110.699951171875,1943.0899658203125,10184.669921875
2004-03-17,1123.75,1976.760009765625,10300.2998046875
2004-03-18,1122.3199462890625,1962.43994140625,10295.7802734375
2004-03-19,1109.780029296875,1940.469970703125,10186.599609375
2004-03-22,1095.4000244140625,1909.9000244140625,10064.75
2004-03-23,1093.949951171875,1901.800048828125,10063.6396484375
